                    .,Durchschnittsverbrauch 2018-2021,2022,2023,2024,Durchschnittstemperatur 2018-2021,Durchschnittstemperatur 2022,Durchschnittstemperatur 2023,Durchschnittstemperatur 2024
1,2111,2060,1709,2041.0,2.0,2.6,3.5,1.4
2,2046,1858,1709,1423.0,2.2,4.3,3.1,6.5
3,1673,1485,1409,1187.0,4.7,5.1,5.7,7.4
4,976,1120,1050,868.0,9.5,7.7,7.5,9.9
5,660,425,475,360.0,12.3,14.4,13.0,14.8
6,277,266,224,296.0,18.2,18.3,18.5,16.7
7,246,212,210,216.0,18.7,19.1,18.7,18.8
8,242,185,225,190.0,18.7,20.2,18.2,19.9
9,413,405,243,353.0,14.7,13.3,17.2,15.3
10,953,587,653,773.0,10.3,12.5,11.8,11.0
11,1607,1184,1408,1459.0,5.3,6.4,5.6,5.1
12,1938,1871,1726,,3.2,1.8,4.0,
